"模块","ID","标题","状态","正文字符数","封面图","城市","区县","描述字符数","更新时间","问题"
"中医馆","55","寇小儿中医馆碧云路店（总部）","已发布","175","无","成都市","武侯区","10","2026-09-14 22:01:33","正文过短；无封面"
"中医馆","54","仁铭君医&middot;中医馆","草稿","7","无","","","7","2026-09-14 10:18:07","正文过短；无封面；缺地区"
"中医馆","53","金针度世中医馆","草稿","4","无","","","4","2026-09-14 10:18:07","正文过短；无封面；缺地区"
"中医馆","52","民仁堂中医馆","草稿","7","无","成都市","成华区","7","2026-09-14 10:18:07","正文过短；无封面"
"中医馆","51","汉棠中医诊所（汉棠汉方医美）","草稿","42","无","成都市","武侯区","43","2026-09-14 10:18:07","正文过短；无封面"
"中医馆","50","北京同仁堂成都店","草稿","23","无","成都市","","25","2026-09-14 10:18:07","正文过短；无封面；缺地区"
"中医馆","49","卢火神扶阳中医馆","草稿","55","无","成都市","武侯区","63","2026-09-14 10:18:07","正文过短；无封面"
"中医馆","48","同善堂国医馆（老字号）","草稿","30","无","","","32","2026-09-14 10:18:07","正文过短；无封面；缺地区"
"中医馆","47","承启堂中医馆（蜀汉/高新/大源等10+直营）","草稿","68","无","成都市","金牛区","72","2026-09-14 10:18:07","正文过短；无封面"
"中医馆","46","秉正堂中医馆（新乐路总店/西村店等）","草稿","55","无","成都市","青羊区","58","2026-09-14 10:18:07","正文过短；无封面"
"中医馆","45","至真堂中医馆（青羊/高新/成华馆）","草稿","51","无","成都市","青羊区","54","2026-09-14 10:18:07","正文过短；无封面"
"中医馆","44","杏林春堂国医馆（连锁）","草稿","30","无","成都市","成华区","32","2026-09-14 10:18:07","正文过短；无封面"
"中医馆","42","德仁堂中医馆","已发布","296","有","","","236","2026-09-12 08:53:21","正文过短；缺地区"
"中医馆","40","承启堂中医馆&middot;蜀汉馆","已发布","447","有","","","36","2026-09-12 09:07:20","缺地区"
"中医馆","33","承启堂&middot;佑健针灸馆","已发布","0","有","成都市","金牛区","52","2026-09-12 10:09:49","正文过短；正文为空"
"少儿中医","1","少儿中医研学体验活动","已发布","41","无","","","46","2026-09-17 05:41:16","正文过短；无封面；缺地区"
